,Time,ClKr400Min,ClKr400Mean,ClKr400Max,ClKr550Min,ClKr550Mean,ClKr550Max,ClLkh250Min,ClLkh250Mean,ClLkh250Max,ClLkh500Min,ClLkh500Mean,ClLkh500Max,ClLkh700Min,ClLkh700Mean,ClLkh700Max,HDrdMin,HDrdMean,HDrdMax,HHvhMin,HHvhMean,HHvhMax,HKrMin,HKrMean,HKrMax,HVlaMin,HVlaMean,HVlaMax,QHagMin,QHagMean,QHagMax,QLobMin,QLobMean,QLobMax,QTielMin,QTielMean,QTielMax,WindEW,WindNS
0,2011-01-01,79.0,89.8768115942029,106.0,79.0,89.8768115942029,106.0,90.0,133.84782608695653,452.0,83.0,138.81159420289856,548.0,86.0,165.57971014492753,638.0,34.0,63.33098591549296,115.0,-41.0,23.72142857142857,136.0,-2.0,49.51063829787234,141.0,-24.0,38.87234042553192,144.0,471.0,546.4347826086956,599.0,2871.0,2931.217391304348,3021.0,2078.0,2139.521739130435,2220.0,25.160117038362717,-16.33917105045082
1,2011-01-02,82.0,96.3125,116.0,82.0,96.3125,116.0,100.0,257.1458333333333,867.0,93.0,289.88194444444446,940.0,97.0,333.625,993.0,28.0,64.06802721088435,109.0,-53.0,14.299319727891156,123.0,-12.0,45.91095890410959,135.0,-36.0,32.92567567567568,136.0,447.0,526.88,598.0,2780.0,2828.72,2871.0,1997.0,2031.44,2078.0,20.478801107224797,-14.339410908776149
2,2011-01-03,85.0,101.93055555555556,125.0,85.0,101.93055555555556,125.0,100.0,185.22222222222223,609.0,96.0,197.52083333333334,633.0,100.0,216.68055555555554,686.0,17.0,54.68027210884354,102.0,-72.0,6.9523809523809526,121.0,-25.0,35.394557823129254,131.0,-52.0,23.94557823129252,135.0,393.0,498.28,559.0,2704.0,2750.24,2801.0,1941.0,1966.88,2002.0,13.121180579810146,15.09419160445544
3,2011-01-04,89.0,104.1875,125.0,89.0,104.1875,125.0,96.0,116.45833333333333,156.0,89.0,110.98611111111111,151.0,92.0,115.80555555555556,218.0,12.0,50.843537414965986,101.0,-70.0,6.655405405405405,127.0,-29.0,31.68027210884354,130.0,-49.0,22.73469387755102,137.0,416.0,466.56,506.0,2602.0,2654.28,2690.0,1879.0,1909.64,1941.0,16.08044375975054,52.596761577966944
4,2011-01-05,89.0,108.8125,139.0,89.0,108.8125,139.0,97.0,104.95833333333333,119.0,89.0,98.63194444444444,111.0,93.0,101.82638888888889,115.0,0.0,41.38775510204081,92.0,-86.0,-0.527027027027027,119.0,-46.0,22.425675675675677,121.0,-65.0,13.073825503355705,129.0,397.0,433.0416666666667,468.0,2474.0,2526.16,2588.0,1810.0,1844.44,1879.0,-1.1693112312979697,66.98979557547821
5,2011-01-06,96.0,109.52083333333333,129.0,96.0,109.52083333333333,129.0,100.0,149.4375,362.0,96.0,150.64583333333334,475.0,100.0,162.52083333333334,596.0,11.0,59.57534246575342,120.0,-53.0,34.59863945578231,169.0,-24.0,49.59731543624161,162.0,-39.0,45.898648648648646,176.0,355.0,409.04,469.0,2441.0,2460.28,2494.0,1763.0,1782.88,1810.0,7.624946490210378,11.741387951235938
6,2011-01-07,99.0,121.97916666666667,155.0,99.0,121.97916666666667,155.0,118.0,226.72222222222223,796.0,110.0,260.5,903.0,114.0,293.52777777777777,939.0,26.0,70.52027027027027,122.0,-76.0,20.78523489932886,148.0,-25.0,49.44897959183673,150.0,-56.0,37.41891891891892,157.0,374.0,430.36,483.0,2441.0,2546.2,2683.0,1751.0,1767.24,1793.0,-13.675589497124573,32.217669870835415
7,2011-01-08,98.0,124.27777777777777,155.0,98.0,124.27777777777777,155.0,108.0,141.375,188.0,104.0,140.64583333333334,211.0,108.0,147.29166666666666,244.0,36.0,70.39189189189189,124.0,-69.0,21.413333333333334,151.0,-13.0,49.398648648648646,158.0,-44.0,38.554054054054056,163.0,437.0,537.72,1017.0,2723.0,3274.12,4064.0,1797.0,1917.36,2138.0,28.601401483591456,56.13341102386717
8,2011-01-09,98.0,119.26388888888889,147.0,98.0,119.26388888888889,147.0,110.0,118.67361111111111,139.0,103.0,111.98611111111111,135.0,106.0,115.38888888888889,143.0,56.0,90.05405405405405,143.0,-51.0,31.093333333333334,145.0,4.0,65.33783783783784,161.0,-27.0,50.92567567567568,160.0,463.0,660.48,754.0,4143.0,5141.76,6066.0,2184.0,2749.04,3380.0,39.793803482642005,26.841259366595843
9,2011-01-10,88.0,121.5625,157.0,88.0,121.5625,157.0,98.0,107.38194444444444,114.0,91.0,100.79861111111111,110.0,94.0,104.00694444444444,110.0,21.0,76.34013605442176,140.0,-96.0,-1.4864864864864864,117.0,-32.0,44.45945945945946,146.0,-66.0,22.66216216216216,138.0,738.0,851.88,947.0,6129.0,6871.32,7445.0,3453.0,4052.28,4547.0,-7.195985391850611,45.43366366737634
